wl in nm,n Al rkic995,k Al
200,0.119452054,2.265337398
201,0.120554154,2.279036585
202,0.121656255,2.292735772
203,0.122758355,2.306434959
204,0.123860455,2.320134146
205,0.124962556,2.333833333
206,0.126064656,2.34753252
207,0.127245587,2.361061094
208,0.128566661,2.374286354
209,0.129887735,2.387511614
210,0.13120881,2.400736874
211,0.132529884,2.413962134
212,0.133850958,2.427187394
213,0.135172032,2.440412654
214,0.136493107,2.453637914
215,0.137814181,2.466863174
216,0.139135255,2.480088435
217,0.14045633,2.493313695
218,0.141777404,2.506538955
219,0.143098478,2.519764215
220,0.144419552,2.532989475
221,0.145740627,2.546214735
222,0.147061701,2.559439995
223,0.148382775,2.572665255
224,0.14970385,2.585890515
225,0.151024924,2.599115775
226,0.152345998,2.612341036
227,0.153667072,2.625566296
228,0.154988147,2.638791556
229,0.156309221,2.652016816
230,0.157630295,2.665242076
231,0.158951369,2.678467336
232,0.160272444,2.691692596
233,0.161593518,2.704917856
234,0.162914592,2.718143116
235,0.164235667,2.731368376
236,0.165556741,2.744593637
237,0.166877815,2.757818897
238,0.168198889,2.771044157
239,0.169519964,2.784269417
240,0.170841038,2.797494677
241,0.172162112,2.810719937
242,0.173483187,2.823945197
243,0.174804261,2.837170457
244,0.176125335,2.850395717
245,0.177446409,2.863620977
246,0.178767484,2.876846238
247,0.180088558,2.890071498
248,0.181417746,2.903289676
249,0.183009293,2.916278868
250,0.18460084,2.929268059
251,0.186192387,2.942257251
252,0.187783935,2.955246443
253,0.189375482,2.968235635
254,0.190967029,2.981224827
255,0.192558576,2.994214018
256,0.194150123,3.00720321
257,0.19574167,3.020192402
258,0.197333217,3.033181594
259,0.198924764,3.046170786
260,0.200516311,3.059159977
261,0.202107858,3.072149169
262,0.203699405,3.085138361
263,0.205290952,3.098127553
264,0.206882499,3.111116745
265,0.208474046,3.124105936
266,0.210065593,3.137095128
267,0.21165714,3.15008432
268,0.213248687,3.163073512
269,0.214840234,3.176062704
270,0.216431781,3.189051895
271,0.218023328,3.202041087
272,0.219614875,3.215030279
273,0.221206422,3.228019471
274,0.222797969,3.241008663
275,0.224389516,3.253997854
276,0.225981063,3.266987046
277,0.22757261,3.279976238
278,0.229164157,3.29296543
279,0.230755704,3.305954622
280,0.232347251,3.318943814
281,0.233938798,3.331933005
282,0.235530345,3.344922197
283,0.237121892,3.357911389
284,0.238713439,3.370900581
285,0.240304986,3.383889773
286,0.241896533,3.396878964
287,0.24348808,3.409868156
288,0.245079627,3.422857348
289,0.246671174,3.43584654
290,0.248262721,3.448835732
291,0.249854268,3.461824923
292,0.251445815,3.474814115
293,0.253037362,3.487803307
294,0.25462891,3.500792499
295,0.256220457,3.513781691
296,0.257812004,3.526770882
297,0.259403551,3.539760074
298,0.260995098,3.552749266
299,0.262586645,3.565738458
300,0.264178192,3.57872765
301,0.265769739,3.591716841
302,0.267361286,3.604706033
303,0.268952833,3.617695225
304,0.27054438,3.630684417
305,0.272135927,3.643673609
306,0.273727474,3.6566628
307,0.275319021,3.669651992
308,0.276910568,3.682641184
309,0.278502115,3.695630376
310,0.280115074,3.708610784
311,0.282241912,3.721380392
312,0.28436875,3.73415
313,0.286495588,3.746919608
314,0.288622426,3.759689216
315,0.290749265,3.772458824
316,0.292876103,3.785228431
317,0.295002941,3.797998039
318,0.297129779,3.810767647
319,0.299256618,3.823537255
320,0.301383456,3.836306863
321,0.303510294,3.849076471
322,0.305637132,3.861846078
323,0.307763971,3.874615686
324,0.309890809,3.887385294
325,0.312017647,3.900154902
326,0.314144485,3.91292451
327,0.316316384,3.925489682
328,0.318505805,3.937975352
329,0.320695227,3.950461021
330,0.322884648,3.962946691
331,0.32507407,3.975432361
332,0.327263491,3.98791803
333,0.329452913,4.0004037
334,0.331642335,4.012889369
335,0.333831756,4.025375039
336,0.336021178,4.037860709
337,0.338210599,4.050346378
338,0.340400021,4.062832048
339,0.342589442,4.075317718
340,0.344778864,4.087803387
341,0.346968286,4.100289057
342,0.349157707,4.112774726
343,0.351347129,4.125260396
344,0.35353655,4.137746066
345,0.355725972,4.150231735
346,0.357915393,4.162717405
347,0.360104815,4.175203075
348,0.362294237,4.187688744
349,0.364483658,4.200174414
350,0.36667308,4.212660083
351,0.368862501,4.225145753
352,0.371051923,4.237631423
353,0.373241344,4.250117092
354,0.375430766,4.262602762
355,0.377620188,4.275088431
356,0.379809609,4.287574101
357,0.381999031,4.300059771
358,0.384188452,4.31254544
359,0.386377874,4.32503111
360,0.388567295,4.33751678
361,0.390756717,4.350002449
362,0.392946139,4.362488119
363,0.39513556,4.374973788
364,0.397324982,4.387459458
365,0.399627203,4.399931469
366,0.402148387,4.412376964
367,0.404669572,4.42482246
368,0.407190757,4.437267956
369,0.409711942,4.449713451
370,0.412233126,4.462158947
371,0.414754311,4.474604443
372,0.417275496,4.487049938
373,0.41979668,4.499495434
374,0.422317865,4.51194093
375,0.42483905,4.524386425
376,0.427360234,4.536831921
377,0.429881419,4.549277417
378,0.432402604,4.561722912
379,0.434923789,4.574168408
380,0.437444973,4.586613904
381,0.439966158,4.599059399
382,0.442487343,4.611504895
383,0.445008527,4.623950391
384,0.447529712,4.636395886
385,0.450050897,4.648841382
386,0.452572081,4.661286878
387,0.455093266,4.673732374
388,0.457614451,4.686177869
389,0.460135636,4.698623365
390,0.46265682,4.711068861
391,0.465178005,4.723514356
392,0.46769919,4.735959852
393,0.470220374,4.748405348
394,0.472741559,4.760850843
395,0.475262744,4.773296339
396,0.477783928,4.785741835
397,0.480305113,4.79818733
398,0.482826298,4.810632826
399,0.485347483,4.823078322
400,0.487868667,4.835523817
401,0.490389852,4.847969313
402,0.492911037,4.860414809
