Ell with T and measured substrate Opt. Const. of B-Spline vs. nm, n (E with T amd substrate),k (E with T and substrate measured)
191.078323,1.317894,1.850921
192.662064,1.340344,1.897172
194.245926,1.362607,1.940475
195.82991,1.385092,1.979949
197.414017,1.408139,2.014861
198.998245,1.432049,2.044609
200.582596,1.457095,2.068691
202.167068,1.483466,2.087036
203.751648,1.51114,2.10059
205.336349,1.540062,2.110374
206.921173,1.570177,2.117295
208.506104,1.601424,2.12216
210.091156,1.63373,2.12569
211.676315,1.666977,2.128513
213.261597,1.700544,2.130914
214.847,1.733482,2.132913
216.432495,1.764943,2.134492
218.018112,1.794182,2.135611
219.603836,1.820537,2.136209
221.189667,1.843424,2.13622
222.775635,1.862337,2.13557
224.361664,1.877547,2.134246
225.947845,1.8903,2.132327
227.534103,1.9018,2.129909
229.120483,1.913146,2.127096
230.706985,1.925336,2.124001
232.293549,1.939282,2.120741
233.880249,1.955807,2.117441
235.467041,1.975637,2.114238
237.053925,1.998722,2.111206
238.640945,2.023946,2.108299
240.228058,2.0502,2.105444
241.815231,2.076482,2.102553
243.402542,2.101887,2.099516
244.989944,2.125599,2.096214
246.577438,2.146888,2.092518
248.165039,2.165089,2.088297
249.752716,2.17961,2.083417
251.3405,2.190614,2.077679
252.928391,2.199359,2.070802
254.516357,2.207111,2.062532
256.104431,2.215047,2.052654
257.692596,2.224266,2.040983
259.280853,2.235799,2.027375
260.869202,2.250607,2.011728
262.457642,2.269593,1.993991
264.046173,2.29359,1.974178
265.634766,2.323362,1.952368
267.22348,2.358906,1.928701
268.812286,2.398427,1.903294
270.401154,2.439996,1.87618
271.990112,2.481857,1.847302
273.579163,2.522416,1.816515
275.168274,2.560239,1.78359
276.757507,2.594027,1.748226
278.346832,2.622597,1.710057
279.936218,2.644866,1.668647
281.525665,2.659821,1.623502
283.115204,2.666494,1.574051
284.704834,2.664001,1.519685
286.294525,2.652541,1.460462
287.884338,2.633128,1.397037
289.474182,2.606685,1.330068
291.064117,2.574035,1.260213
292.654114,2.535914,1.18814
294.244202,2.492987,1.114542
295.834412,2.445843,1.040143
297.424622,2.395015,0.965728
299.014954,2.340961,0.892141
300.605316,2.284073,0.820307
302.19577,2.224665,0.751243
303.786316,2.162975,0.68608
305.376892,2.099152,0.626067
306.96759,2.033127,0.572011
308.558289,1.964525,0.523719
310.149109,1.892937,0.480891
311.73999,1.817937,0.443242
313.330902,1.739072,0.410514
314.921936,1.655821,0.382488
316.513,1.567579,0.359002
318.104126,1.473595,0.339985
319.695313,1.372912,0.325507
321.28656,1.264248,0.315883
322.877899,1.145836,0.311874
324.469299,1.015163,0.315144
326.06073,0.868669,0.32939
327.652222,0.702153,0.36332
329.243774,0.517357,0.436882
330.835388,0.346965,0.571234
332.427063,0.233236,0.73571
334.018799,0.164417,0.890489
335.610596,0.119464,1.028251
337.202454,0.087768,1.15141
338.794342,0.064317,1.262945
340.386292,0.046524,1.365161
341.978302,0.03292,1.459747
343.570374,0.022604,1.547959
345.162476,0.014991,1.630741
346.754639,0.00968,1.708824
348.346832,0.006386,1.782791
349.939087,0.0049,1.853107
351.531403,0.005063,1.920159
353.123749,0.006752,1.984263
354.716156,0.009868,2.045691
356.308624,0.014332,2.104674
357.901093,0.020079,2.161413
359.493652,0.027042,2.216081
361.086243,0.035059,2.268831
362.678864,0.043934,2.319798
364.271515,0.053498,2.3691
365.864227,0.063603,2.41684
367.45697,0.074118,2.463107
369.049774,0.084928,2.507984
370.642609,0.095932,2.551542
372.235474,0.107038,2.593845
373.828369,0.118167,2.634951
375.421326,0.129245,2.674911
377.014313,0.140209,2.713772
378.60733,0.151,2.751574
380.200378,0.161567,2.788359
381.793457,0.171861,2.824159
383.386566,0.181841,2.859008
384.979706,0.19147,2.892935
386.572906,0.200711,2.925968
388.166107,0.209535,2.958132
389.759338,0.217914,2.98945
391.352631,0.225821,3.019948
392.945953,0.233234,3.049643
394.539276,0.240154,3.078567
396.132629,0.24663,3.106778
397.726013,0.252718,3.134332
399.319427,0.258468,3.161283
400.912872,0.263926,3.187679
402.506317,0.269136,3.213568
404.099792,0.274137,3.238995
405.693298,0.278966,3.263998
407.286835,0.283656,3.288617
408.880402,0.288238,3.312888
410.473969,0.292743,3.336844
412.067566,0.297196,3.360516
413.661194,0.301623,3.383935
415.254791,0.306046,3.407126
416.84845,0.310488,3.430118
418.442078,0.314967,3.452933
420.035797,0.319503,3.475595
421.629486,0.324111,3.498125
423.223206,0.328808,3.520542
424.816895,0.333607,3.542865
426.410645,0.338522,3.565112
428.004395,0.343566,3.5873
429.598145,0.348747,3.609442
431.191956,0.354078,3.631555
432.785706,0.359566,3.653649
434.379486,0.365221,3.67574
435.973297,0.371044,3.697834
437.567078,0.377023,3.71992
439.16095,0.383142,3.741987
440.75473,0.389384,3.76402
442.348541,0.395734,3.786008
443.942383,0.402179,3.807941
445.536224,0.408707,3.829808
447.130066,0.415303,3.851599
448.723938,0.421957,3.873305
450.317719,0.428658,3.894917
451.91156,0.435396,3.916428
453.505432,0.442161,3.93783
455.099274,0.448944,3.959116
456.693115,0.455736,3.980278
458.286957,0.46253,4.001312
459.880798,0.469318,4.022211
461.474609,0.476093,4.042969
463.068451,0.482848,4.063583
464.662292,0.489578,4.084047
466.256104,0.496277,4.104356
467.849915,0.502939,4.124506
469.443695,0.50956,4.144495
471.037506,0.516135,4.16432
472.631287,0.522659,4.183975
474.225098,0.529129,4.203459
475.818848,0.53554,4.222768
477.412598,0.541889,4.241901
479.006348,0.548173,4.260855
480.600098,0.55439,4.279629
482.193787,0.560535,4.298219
483.787506,0.566607,4.316625
485.381195,0.572604,4.334846
486.974915,0.578522,4.35288
488.568542,0.584365,4.370733
490.162201,0.590138,4.388412
491.755798,0.595845,4.405929
493.349426,0.601491,4.42329
494.943024,0.607079,4.440503
496.53656,0.612615,4.457576
498.130127,0.618101,4.474517
499.723633,0.623542,4.491331
501.317139,0.628941,4.508026
502.910645,0.6343,4.524608
504.504089,0.639624,4.541083
506.097504,0.644915,4.557456
507.690918,0.650176,4.573734
509.284332,0.655409,4.589922
510.877625,0.660617,4.606023
512.471008,0.665803,4.622046
514.064331,0.670968,4.637991
