Opt. Const. of James_ITO_Genosc- nm,n,k
191.078323,1.98874,0.553082
192.662064,1.992538,0.559459
194.245926,1.996835,0.565518
195.82991,2.00161,0.57125
197.414017,2.006838,0.576647
198.998245,2.012499,0.581701
200.582596,2.018569,0.586403
202.167068,2.025028,0.590745
203.751648,2.031854,0.594719
205.336349,2.039028,0.598318
206.921173,2.046529,0.601534
208.506104,2.054336,0.60436
210.091156,2.06243,0.606789
211.676315,2.07079,0.608815
213.261597,2.079398,0.610431
214.847,2.088233,0.611631
216.432495,2.097274,0.61241
218.018112,2.106504,0.612761
219.603836,2.115901,0.612681
221.189667,2.125445,0.612165
222.775635,2.135117,0.611208
224.361664,2.144896,0.609807
225.947845,2.154761,0.607958
227.534103,2.164692,0.60566
229.120483,2.174669,0.602909
230.706985,2.18467,0.599705
232.293549,2.194673,0.596047
233.880249,2.204659,0.591935
235.467041,2.214605,0.58737
237.053925,2.224489,0.582352
238.640945,2.234291,0.576885
240.228058,2.243988,0.570971
241.815231,2.253558,0.564615
243.402542,2.26298,0.557822
244.989944,2.272232,0.550597
246.577438,2.281292,0.542949
248.165039,2.290139,0.534884
249.752716,2.298752,0.526412
251.3405,2.307109,0.517544
252.928391,2.315189,0.50829
254.516357,2.322973,0.498664
256.104431,2.330441,0.488678
257.692596,2.337573,0.478348
259.280853,2.34435,0.46769
260.869202,2.350756,0.45672
262.457642,2.356772,0.445455
264.046173,2.362383,0.433916
265.634766,2.367574,0.422123
267.22348,2.372329,0.410095
268.812286,2.376637,0.397856
270.401154,2.380485,0.385427
271.990112,2.383862,0.372831
273.579163,2.38676,0.360094
275.168274,2.38917,0.34724
276.757507,2.391086,0.334293
278.346832,2.392502,0.32128
279.936218,2.393414,0.308227
281.525665,2.393822,0.295159
283.115204,2.393724,0.282103
284.704834,2.39312,0.269085
286.294525,2.392014,0.256132
287.884338,2.390409,0.243269
289.474182,2.388311,0.230524
291.064117,2.385727,0.21792
292.654114,2.382665,0.205483
294.244202,2.379135,0.193239
295.834412,2.375148,0.181211
297.424622,2.370716,0.169422
299.014954,2.365854,0.157895
300.605316,2.360577,0.146652
302.19577,2.354901,0.135713
303.786316,2.348843,0.1251
305.376892,2.342422,0.114832
306.96759,2.335657,0.104926
308.558289,2.328569,0.095399
310.149109,2.32118,0.086269
311.73999,2.313511,0.07755
313.330902,2.305587,0.069257
314.921936,2.297431,0.061403
316.513,2.289068,0.053999
318.104126,2.280526,0.047057
319.695313,2.271829,0.040587
321.28656,2.263007,0.034599
322.877899,2.254089,0.029099
324.469299,2.245104,0.024095
326.06073,2.236084,0.019594
327.652222,2.227063,0.015599
329.243774,2.218076,0.012116
330.835388,2.209161,0.009147
332.427063,2.200361,0.006695
334.018799,2.191723,0.004761
335.610596,2.183304,0.003344
337.202454,2.175174,0.002445
338.794342,2.167444,0.002061
340.386292,2.160359,0.00207
341.978302,2.15383,0.002106
343.570374,2.147679,0.002142
345.162476,2.141834,0.002177
346.754639,2.13625,0.002213
348.346832,2.130895,0.00225
349.939087,2.125743,0.002286
351.531403,2.120774,0.002323
353.123749,2.115971,0.00236
354.716156,2.111321,0.002397
356.308624,2.106811,0.002435
357.901093,2.102432,0.002473
359.493652,2.098173,0.002511
361.086243,2.094027,0.002549
362.678864,2.089987,0.002588
364.271515,2.086046,0.002628
365.864227,2.082198,0.002667
367.45697,2.078439,0.002707
369.049774,2.074763,0.002747
370.642609,2.071165,0.002788
372.235474,2.067642,0.002828
373.828369,2.06419,0.00287
375.421326,2.060806,0.002911
377.014313,2.057486,0.002953
378.60733,2.054227,0.002995
380.200378,2.051027,0.003038
381.793457,2.047883,0.003081
383.386566,2.044792,0.003125
384.979706,2.041752,0.003168
386.572906,2.038761,0.003213
388.166107,2.035818,0.003257
389.759338,2.032919,0.003302
391.352631,2.030064,0.003347
392.945953,2.02725,0.003393
394.539276,2.024476,0.003439
396.132629,2.021741,0.003486
397.726013,2.019043,0.003533
399.319427,2.01638,0.00358
400.912872,2.013752,0.003628
402.506317,2.011157,0.003676
404.099792,2.008594,0.003724
405.693298,2.006062,0.003773
407.286835,2.00356,0.003823
408.880402,2.001086,0.003872
410.473969,1.99864,0.003923
412.067566,1.996221,0.003973
413.661194,1.993828,0.004024
415.254791,1.99146,0.004076
416.84845,1.989116,0.004128
418.442078,1.986796,0.00418
420.035797,1.984499,0.004233
421.629486,1.982223,0.004286
423.223206,1.979969,0.00434
424.816895,1.977735,0.004394
426.410645,1.975522,0.004448
428.004395,1.973327,0.004503
429.598145,1.971152,0.004559
431.191956,1.968994,0.004615
432.785706,1.966855,0.004671
434.379486,1.964732,0.004728
435.973297,1.962626,0.004785
437.567078,1.960536,0.004843
439.16095,1.958462,0.004901
440.75473,1.956402,0.00496
442.348541,1.954358,0.005019
443.942383,1.952327,0.005079
445.536224,1.950311,0.005139
447.130066,1.948308,0.005199
448.723938,1.946318,0.005261
450.317719,1.94434,0.005322
451.91156,1.942375,0.005384
453.505432,1.940422,0.005447
455.099274,1.93848,0.00551
456.693115,1.936549,0.005573
458.286957,1.93463,0.005638
459.880798,1.932721,0.005702
461.474609,1.930822,0.005767
463.068451,1.928933,0.005833
464.662292,1.927054,0.005899
466.256104,1.925184,0.005966
467.849915,1.923323,0.006033
469.443695,1.921471,0.0061
471.037506,1.919628,0.006168
472.631287,1.917793,0.006237
474.225098,1.915966,0.006306
475.818848,1.914147,0.006376
477.412598,1.912336,0.006446
479.006348,1.910532,0.006517
480.600098,1.908735,0.006589
482.193787,1.906945,0.006661
483.787506,1.905162,0.006733
485.381195,1.903386,0.006806
486.974915,1.901615,0.00688
488.568542,1.899851,0.006954
490.162201,1.898093,0.007028
491.755798,1.896341,0.007104
493.349426,1.894594,0.007179
494.943024,1.892852,0.007256
496.53656,1.891116,0.007333
498.130127,1.889385,0.00741
499.723633,1.887659,0.007488
501.317139,1.885937,0.007567
502.910645,1.884221,0.007646
504.504089,1.882508,0.007726
506.097504,1.8808,0.007806
507.690918,1.879096,0.007887
509.284332,1.877396,0.007969
510.877625,1.8757,0.008051
512.471008,1.874007,0.008134
514.064331,1.872318,0.008217
515.657593,1.870633,0.008301
517.250793,1.868951,0.008386
518.843994,1.867272,0.008471
520.437134,1.865596,0.008557
522.030334,1.863923,0.008643
523.623413,1.862253,0.00873
525.216492,1.860586,0.008818
526.80957,1.858921,0.008906
528.402588,1.857259,0.008995
529.995544,1.855599,0.009085
531.588501,1.853941,0.009175
533.181396,1.852286,0.009266
534.774231,1.850633,0.009357
536.367065,1.848981,0.00945
537.959839,1.847332,0.009542
539.552612,1.845684,0.009636
541.145325,1.844038,0.00973
542.737915,1.842394,0.009825
544.330566,1.840751,0.00992
545.923157,1.83911,0.010016
547.515686,1.837469,0.010113
549.108154,1.83583,0.01021
550.700562,1.834193,0.010309
552.29303,1.832556,0.010407
553.885376,1.83092,0.010507
555.477661,1.829286,0.010607
557.069885,1.827652,0.010708
558.662109,1.826018,0.010809
560.254272,1.824386,0.010912
561.846313,1.822754,0.011015
563.438354,1.821122,0.011118
565.030396,1.819491,0.011223
566.622314,1.817861,0.011328
568.214233,1.81623,0.011434
569.80603,1.8146,0.01154
571.397827,1.81297,0.011647
572.989563,1.811341,0.011755
574.581238,1.809711,0.011864
576.172852,1.808081,0.011973
577.764404,1.806451,0.012084
579.355835,1.804821,0.012195
580.947327,1.803191,0.012306
582.538696,1.80156,0.012419
584.130005,1.799929,0.012532
585.721252,1.798298,0.012646
587.312378,1.796667,0.01276
588.903564,1.795034,0.012876
590.494568,1.793402,0.012992
592.085571,1.791768,0.013109
593.676514,1.790134,0.013227
595.267395,1.788499,0.013346
596.858154,1.786864,0.013465
598.448853,1.785228,0.013585
600.039551,1.78359,0.013706
601.630127,1.781952,0.013828
603.220642,1.780313,0.01395
604.811096,1.778673,0.014074
606.401489,1.777031,0.014198
607.99176,1.775389,0.014323
609.58197,1.773745,0.014448
611.172119,1.7721,0.014575
612.762207,1.770454,0.014703
614.352173,1.768807,0.014831
615.942139,1.767158,0.01496
617.531982,1.765507,0.01509
619.121704,1.763856,0.015221
620.711426,1.762202,0.015352
622.301086,1.760548,0.015485
623.890564,1.758891,0.015618
625.480042,1.757233,0.015752
627.069397,1.755574,0.015888
628.658691,1.753912,0.016024
630.247925,1.752249,0.01616
631.837036,1.750584,0.016298
633.426025,1.748917,0.016437
635.015015,1.747249,0.016576
636.603882,1.745578,0.016717
638.192627,1.743906,0.016858
639.781311,1.742231,0.017
641.369934,1.740554,0.017143
642.958435,1.738876,0.017287
644.546814,1.737195,0.017432
646.135132,1.735512,0.017578
647.72345,1.733827,0.017725
649.311584,1.73214,0.017873
650.899597,1.73045,0.018021
652.48761,1.728759,0.018171
654.075439,1.727064,0.018322
655.663208,1.725368,0.018473
657.250854,1.723669,0.018626
658.838501,1.721968,0.018779
660.425903,1.720264,0.018934
662.013306,1.718558,0.019089
663.600586,1.716849,0.019245
665.187805,1.715138,0.019403
666.774841,1.713424,0.019561
668.361877,1.711707,0.01972
669.94873,1.709988,0.019881
671.535522,1.708266,0.020042
673.122192,1.706542,0.020205
674.70874,1.704814,0.020368
676.295227,1.703084,0.020532
677.881531,1.701351,0.020698
679.467834,1.699616,0.020864
681.053955,1.697877,0.021032
682.640015,1.696135,0.021201
684.225952,1.694391,0.02137
685.811707,1.692644,0.021541
687.397461,1.690893,0.021713
688.983032,1.68914,0.021886
690.568542,1.687383,0.022059
692.153931,1.685624,0.022234
693.739136,1.683861,0.022411
695.324341,1.682095,0.022588
696.909302,1.680326,0.022766
698.494263,1.678554,0.022945
700.079041,1.676778,0.023126
701.663696,1.675,0.023308
