Opt. Const. of B-Spline vs. nm,n,k
191.078323,1.649894,0.530456
192.662064,1.556217,0.499866
194.245926,1.472063,0.495753
195.82991,1.403327,0.511279
197.414017,1.353153,0.53863
198.998245,1.321426,0.569639
200.582596,1.304462,0.5972
202.167068,1.295294,0.618157
203.751648,1.289355,0.634308
205.336349,1.284878,0.647358
206.921173,1.281032,0.658583
208.506104,1.277499,0.668962
210.091156,1.274313,0.679243
211.676315,1.271842,0.689898
213.261597,1.270531,0.70082
214.847,1.27043,0.711723
216.432495,1.27145,0.722404
218.018112,1.273453,0.732713
219.603836,1.276271,0.742539
221.189667,1.279711,0.75181
222.775635,1.283548,0.760497
224.361664,1.287541,0.7687
225.947845,1.291588,0.776584
227.534103,1.295655,0.784275
229.120483,1.299737,0.791871
230.706985,1.303851,0.799451
232.293549,1.308026,0.807075
233.880249,1.312305,0.814788
235.467041,1.31675,0.822615
237.053925,1.32143,0.830531
238.640945,1.326368,0.838484
240.228058,1.331562,0.846433
241.815231,1.337,0.854347
243.402542,1.342665,0.862202
244.989944,1.348536,0.869978
246.577438,1.354589,0.877663
248.165039,1.360795,0.885246
249.752716,1.367119,0.892727
251.3405,1.373522,0.900129
252.928391,1.379994,0.907488
254.516357,1.386537,0.914832
256.104431,1.393161,0.92218
257.692596,1.399877,0.929549
259.280853,1.406701,0.936949
260.869202,1.413647,0.944389
262.457642,1.420734,0.951874
264.046173,1.42798,0.959404
265.634766,1.435408,0.966977
267.22348,1.443043,0.974582
268.812286,1.450896,0.982194
270.401154,1.458973,0.989797
271.990112,1.467277,0.997373
273.579163,1.475805,1.004908
275.168274,1.484558,1.012392
276.757507,1.493533,1.019813
278.346832,1.502726,1.027161
279.936218,1.512135,1.034428
281.525665,1.521754,1.041607
283.115204,1.531577,1.048692
284.704834,1.541596,1.055683
286.294525,1.551804,1.062586
287.884338,1.562207,1.069413
289.474182,1.572813,1.076168
291.064117,1.583637,1.082855
292.654114,1.594691,1.089473
294.244202,1.605992,1.096019
295.834412,1.617558,1.102491
297.424622,1.629407,1.108881
299.014954,1.641562,1.115179
300.605316,1.654048,1.121376
302.19577,1.666893,1.127455
303.786316,1.680133,1.133397
305.376892,1.693817,1.139172
306.96759,1.708007,1.1447
308.558289,1.722701,1.149872
310.149109,1.737866,1.154606
311.73999,1.753457,1.158833
313.330902,1.769423,1.162503
314.921936,1.785711,1.165572
316.513,1.802266,1.168008
318.104126,1.819032,1.169785
319.695313,1.835954,1.170885
321.28656,1.852976,1.171293
322.877899,1.870043,1.171003
324.469299,1.8871,1.17001
326.06073,1.904092,1.168313
327.652222,1.920961,1.165919
329.243774,1.937645,1.162836
330.835388,1.954075,1.159087
332.427063,1.970195,1.154729
334.018799,1.985976,1.14981
335.610596,2.0014,1.144376
337.202454,2.016454,1.138463
338.794342,2.031125,1.132104
340.386292,2.045406,1.12533
341.978302,2.05929,1.118168
343.570374,2.072771,1.110643
345.162476,2.085843,1.102778
346.754639,2.098501,1.094594
348.346832,2.11074,1.086112
349.939087,2.122556,1.077349
351.531403,2.133943,1.068325
353.123749,2.144894,1.059055
354.716156,2.155402,1.049555
356.308624,2.165457,1.039843
357.901093,2.175047,1.029934
359.493652,2.184151,1.01985
361.086243,2.192753,1.00963
362.678864,2.200851,0.999314
364.271515,2.208454,0.988938
365.864227,2.215568,0.978532
367.45697,2.222206,0.968125
369.049774,2.228379,0.957742
370.642609,2.234102,0.947406
372.235474,2.239387,0.937139
373.828369,2.24425,0.926961
375.421326,2.248705,0.91689
377.014313,2.252769,0.906943
378.60733,2.256458,0.897135
380.200378,2.259787,0.887481
381.793457,2.262773,0.877994
383.386566,2.265433,0.868688
384.979706,2.267785,0.859572
386.572906,2.269847,0.850658
388.166107,2.271638,0.841955
389.759338,2.273177,0.833472
391.352631,2.274486,0.825216
392.945953,2.275588,0.817193
394.539276,2.276511,0.809403
396.132629,2.277278,0.801836
397.726013,2.277903,0.794483
399.319427,2.278399,0.787335
400.912872,2.278777,0.780386
402.506317,2.279045,0.773629
404.099792,2.279214,0.767058
405.693298,2.279289,0.760668
407.286835,2.279279,0.754454
408.880402,2.279191,0.748411
410.473969,2.279029,0.742534
412.067566,2.2788,0.736819
413.661194,2.27851,0.731262
415.254791,2.278164,0.72586
416.84845,2.277766,0.720608
418.442078,2.277322,0.715502
420.035797,2.276836,0.71054
421.629486,2.276312,0.705717
423.223206,2.275754,0.701032
424.816895,2.275167,0.69648
426.410645,2.274555,0.692059
428.004395,2.273922,0.687765
429.598145,2.273273,0.683596
431.191956,2.272611,0.679549
432.785706,2.27194,0.67562
434.379486,2.271267,0.671807
435.973297,2.270597,0.668106
437.567078,2.269934,0.664509
439.16095,2.269283,0.661011
440.75473,2.268645,0.657605
442.348541,2.268022,0.654286
443.942383,2.267414,0.651047
445.536224,2.266822,0.647884
447.130066,2.266247,0.644792
448.723938,2.265689,0.641766
450.317719,2.265148,0.638803
451.91156,2.264623,0.635896
