NR9 ordinary,n,k
272,1.581959,0.143597
273,1.578894,0.144219
274,1.575936,0.144971
275,1.573093,0.145846
276,1.570369,0.146833
277,1.567769,0.147924
278,1.565295,0.149111
279,1.56295,0.150386
280,1.560736,0.151741
281,1.558654,0.153168
282,1.556706,0.15466
283,1.554891,0.15621
284,1.553211,0.157812
285,1.551666,0.159457
286,1.550255,0.161141
287,1.548979,0.162856
288,1.547837,0.164597
289,1.546829,0.166358
290,1.545954,0.168133
291,1.545211,0.169916
292,1.544601,0.171702
293,1.544124,0.173487
294,1.543781,0.175263
295,1.543574,0.177023
296,1.543501,0.178757
297,1.54356,0.180457
298,1.543747,0.182115
299,1.544058,0.183723
300,1.54449,0.185275
301,1.545038,0.186762
302,1.545696,0.18818
303,1.546459,0.189521
304,1.547322,0.19078
305,1.548278,0.191953
306,1.549321,0.193033
307,1.550445,0.194017
308,1.551643,0.194901
309,1.552909,0.195679
310,1.554235,0.196349
311,1.555613,0.196908
312,1.557037,0.197351
313,1.558498,0.197677
314,1.559988,0.197883
315,1.561498,0.197967
316,1.563018,0.197926
317,1.564538,0.19776
318,1.566045,0.197467
319,1.567522,0.197052
320,1.568959,0.196523
321,1.570348,0.195891
322,1.571682,0.195164
323,1.572958,0.194351
324,1.574172,0.193458
325,1.57532,0.192494
326,1.576403,0.191466
327,1.577416,0.19038
328,1.57836,0.189242
329,1.579234,0.18806
330,1.580038,0.186838
331,1.580772,0.185582
332,1.581436,0.184299
333,1.58203,0.182992
334,1.582556,0.181666
335,1.583015,0.180327
336,1.583409,0.17898
337,1.583738,0.177627
338,1.584004,0.176274
339,1.584211,0.174924
340,1.584359,0.173581
341,1.584451,0.172249
342,1.584491,0.170931
343,1.58448,0.169631
344,1.584423,0.168352
345,1.584324,0.167096
346,1.584185,0.165867
347,1.584014,0.164666
348,1.583817,0.163495
349,1.5836,0.162351
350,1.583366,0.161231
351,1.583118,0.160132
352,1.582858,0.159052
353,1.582587,0.157988
354,1.582307,0.15694
355,1.582019,0.155904
356,1.581724,0.154879
