wavelength,n,k
1099,5.516416437,0
1098,5.520566244,0
1097,5.524714229,0
1096,5.528860381,0
1095,5.533004689,0
1094,5.537147143,0
1093,5.54128773,0
1092,5.54542644,0
1091,5.549563263,0
1090,5.553474917,0
1089,5.558118158,0
1088,5.562397355,0
1087,5.566133833,0
1086,5.569868832,0
1085,5.57367926,0
1084,5.576910978,0
1083,5.580390733,0
1082,5.584369746,0
1081,5.588304282,0
1080,5.592339067,0
1079,5.595783273,0
1078,5.59951566,0
1077,5.60292701,0
1076,5.60700974,0
1075,5.610271982,0
1074,5.613745428,0
1073,5.616940028,0
1072,5.619782242,0
1071,5.622096294,0
1070,5.624815465,0
1069,5.626903457,0
1068,5.62930422,0
1067,5.631647861,0
1066,5.634836518,0
1065,5.637827458,0
1064,5.640986585,0
1063,5.643649505,0
1062,5.646778743,0
1061,5.649171237,0
1060,5.651295768,0
1059,5.653455658,0
1058,5.65562155,0
1057,5.657484515,0
1056,5.659117735,0
1055,5.660437521,0
1054,5.661679183,0
1053,5.662145513,0
1052,5.663063598,0
1051,5.663309108,0
1050,5.663868926,0
1049,5.664016259,0
1048,5.664232356,0
1047,5.663269826,0
1046,5.66246952,0
1045,5.660589642,0
1044,5.65829369,0
1043,5.656376443,0
1042,5.653744706,0
1041,5.6501012,0
1040,5.646622227,0
1039,5.643175432,0
1038,5.63835951,0
1037,5.632495984,0
1036,5.626129466,0
1035,5.619437188,0
1034,5.61269242,0
1033,5.605183405,0
1032,5.59616023,0
1031,5.586939314,0
1030,5.577199645,0
1029,5.566460153,0
1028,5.555853338,0
1027,5.545316218,0
1026,5.533295909,0
1025,5.520588396,0
1024,5.50843521,0
1023,5.495595244,0
1022,5.480471455,0
1021,5.464732473,0
1020,5.449043406,0
1019,5.433255245,0
1018,5.415661053,0
1017,5.396735612,0
1016,5.376286659,0
1015,5.35550043,0
1014,5.333357095,0
1013,5.311323205,0
1012,5.288527058,0
1011,5.263460764,0
1010,5.237283684,0
1009,5.210674478,0
1008,5.182877601,0
1007,5.153289283,0
1006,5.121756517,0
1005,5.08989937,0
1004,5.058156352,0
1003,5.025984699,0
1002,4.993142802,0
1001,4.960700941,0
1000,4.927679424,0
999,4.894815907,0
998,4.862178088,0
997,4.829154747,0
996,4.79453592,0
995,4.758924982,0
994,4.722991345,0
993,4.685531658,0
992,4.646081562,0
991,4.605253919,0
990,4.563198158,0
989,4.520322316,0
988,4.476213725,0
987,4.431170554,0
986,4.384986375,0
985,4.337903917,0
984,4.289609266,0
983,4.240593558,0
982,4.19050034,0
981,4.139421982,0
980,4.087286337,0
979,4.034473246,0
978,3.981125055,0
977,3.927288674,0
976,3.873009229,0
975,3.81875706,0
974,3.764343012,0
973,3.709684229,0
972,3.654785081,0
971,3.600701692,0
970,3.546532706,0
969,3.492269175,0
968,3.438737727,0
967,3.385883406,0
966,3.333259443,0
965,3.281526212,0
964,3.230393811,0
963,3.180063933,0
962,3.130901355,0
961,3.082693434,0
960,3.035477443,0
959,2.989760474,0
958,2.945184193,0
957,2.901807552,0
956,2.859833401,0
955,2.819336422,0
954,2.779452628,0
953,2.74057877,0
952,2.703455591,0
951,2.667704131,0
950,2.633236297,0
949,2.600159815,0
948,2.567986788,0
947,2.536940505,0
946,2.507106836,0
945,2.478225066,0
944,2.450622091,0
943,2.424750537,0
942,2.400379061,0
941,2.37717418,0
940,2.355134791,0
939,2.334271867,0
938,2.314543934,0
937,2.295844924,0
936,2.278117861,0
935,2.261302957,0
934,2.245220648,0
933,2.229332929,0
932,2.213796039,0
931,2.199206935,0
930,2.185192795,0
929,2.171535108,0
928,2.158740879,0
927,2.146623275,0
926,2.135385359,0
925,2.124908668,0
924,2.115211881,0
923,2.106242669,0
922,2.097462865,0
921,2.089376701,0
920,2.08180497,0
919,2.074357468,0
918,2.067182426,0
917,2.060135025,0
916,2.05341995,0
915,2.047576339,0
914,2.042559682,0
913,2.037924215,0
912,2.033567307,0
911,2.029528541,0
910,2.025396023,0
909,2.021215713,0
908,2.017048184,0
907,2.013075208,0
906,2.009273734,0
905,2.006477546,0
904,2.004019938,0
903,2.001167376,0
902,1.998155998,0
901,1.994530206,0
900,1.991019308,0
899,1.989545963,0
898,1.989067385,0
897,1.988179188,0
896,1.987790469,0.00481
895,1.986797768,0.01036
894,1.984051596,0.01611
893,1.982043118,0.02213
892,1.98072431,0.02839
891,1.980028321,0.03485
890,1.98000115,0.04153
889,1.980563376,0.04849
888,1.980973025,0.05571
887,1.980233147,0.06311
886,1.978391781,0.07072
885,1.976519011,0.07856
884,1.975772814,0.08667
883,1.975486455,0.09497
882,1.975095585,0.1034
881,1.974681719,0.11206
880,1.974094358,0.12096
879,1.972787929,0.13008
878,1.972098121,0.13935
877,1.972482742,0.14876
