Opt. Const. of ZnO (GenOsc) vs. nm nm,n,k
191.078323,1.622271,0.254986
192.662064,1.618553,0.253047
194.245926,1.615244,0.251187
195.82991,1.612262,0.249424
197.414017,1.609556,0.247768
198.998245,1.60709,0.246226
200.582596,1.604838,0.244798
202.167068,1.602783,0.243484
203.751648,1.60091,0.242281
205.336349,1.599209,0.241185
206.921173,1.597671,0.240191
208.506104,1.59629,0.239292
210.091156,1.59506,0.238482
211.676315,1.593976,0.237754
213.261597,1.593032,0.2371
214.847,1.592225,0.236514
216.432495,1.59155,0.235988
218.018112,1.591003,0.235515
219.603836,1.59058,0.235087
221.189667,1.590275,0.2347
222.775635,1.590086,0.234345
224.361664,1.590007,0.234017
225.947845,1.590035,0.233711
227.534103,1.590164,0.23342
229.120483,1.590391,0.23314
230.706985,1.590711,0.232867
232.293549,1.591119,0.232595
233.880249,1.591611,0.232321
235.467041,1.592185,0.232041
237.053925,1.592834,0.231752
238.640945,1.593555,0.23145
240.228058,1.594343,0.231134
241.815231,1.595195,0.2308
243.402542,1.596105,0.230447
244.989944,1.597071,0.230073
246.577438,1.598088,0.229675
248.165039,1.599153,0.229253
249.752716,1.600262,0.228805
251.3405,1.601411,0.22833
252.928391,1.602598,0.227828
254.516357,1.603818,0.227297
256.104431,1.60507,0.226737
257.692596,1.606348,0.226148
259.280853,1.607652,0.225529
260.869202,1.608976,0.224881
262.457642,1.61032,0.224203
264.046173,1.611679,0.223495
265.634766,1.613051,0.222757
267.22348,1.614432,0.221991
268.812286,1.615821,0.221196
270.401154,1.617213,0.220373
271.990112,1.618606,0.219524
273.579163,1.619997,0.218649
275.168274,1.621383,0.217752
276.757507,1.622762,0.216834
278.346832,1.624131,0.215899
279.936218,1.625487,0.214948
281.525665,1.626831,0.213985
283.115204,1.628159,0.213015
284.704834,1.629472,0.21204
286.294525,1.630769,0.211064
287.884338,1.63205,0.210092
289.474182,1.633316,0.209127
291.064117,1.634568,0.208173
292.654114,1.635806,0.207234
294.244202,1.637033,0.206315
295.834412,1.638252,0.20542
297.424622,1.639463,0.204552
299.014954,1.640672,0.203716
300.605316,1.641882,0.202915
302.19577,1.643096,0.202153
303.786316,1.64432,0.201434
305.376892,1.645558,0.200762
306.96759,1.646816,0.200139
308.558289,1.648101,0.19957
310.149109,1.64942,0.199056
311.73999,1.650779,0.198603
313.330902,1.652188,0.198211
314.921936,1.653655,0.197883
316.513,1.65519,0.197623
318.104126,1.656804,0.197432
319.695313,1.65851,0.197312
321.28656,1.660319,0.197264
322.877899,1.662247,0.197291
324.469299,1.66431,0.197392
326.06073,1.666525,0.197569
327.652222,1.668915,0.197821
329.243774,1.671501,0.198149
330.835388,1.674311,0.198551
332.427063,1.677377,0.199025
334.018799,1.680737,0.199568
335.610596,1.684438,0.200174
337.202454,1.688537,0.200835
338.794342,1.693107,0.201531
340.386292,1.698243,0.202231
341.978302,1.704058,0.202873
343.570374,1.710687,0.203353
345.162476,1.718273,0.2035
346.754639,1.726937,0.203058
348.346832,1.736742,0.201676
349.939087,1.747634,0.19892
351.531403,1.759393,0.194317
353.123749,1.771596,0.187426
354.716156,1.783627,0.177937
356.308624,1.794724,0.165755
357.901093,1.804083,0.151065
359.493652,1.810971,0.134344
361.086243,1.814847,0.116311
362.678864,1.815445,0.097838
364.271515,1.812809,0.079827
365.864227,1.807275,0.06309
367.45697,1.799406,0.048251
369.049774,1.789888,0.035687
370.642609,1.779434,0.025524
372.235474,1.768687,0.017665
373.828369,1.758161,0.011849
375.421326,1.748216,0.007728
377.014313,1.739057,0.00493
378.60733,1.730764,0.003105
380.200378,1.723324,0.001961
381.793457,1.716669,0.00127
383.386566,1.710707,0.000865
384.979706,1.705338,0.000635
386.572906,1.700468,0.000506
388.166107,1.696018,0.000433
389.759338,1.691921,0.000391
391.352631,1.688124,0.000364
392.945953,1.684584,0.000346
394.539276,1.681266,0.000332
396.132629,1.678144,0.00032
397.726013,1.675195,0.000309
399.319427,1.6724,0.000298
400.912872,1.669745,0.000289
402.506317,1.667216,0.000279
404.099792,1.664802,0.00027
405.693298,1.662493,0.000262
407.286835,1.660282,0.000253
408.880402,1.65816,0.000245
410.473969,1.656121,0.000238
412.067566,1.654159,0.00023
413.661194,1.652269,0.000223
415.254791,1.650447,0.000216
416.84845,1.648687,0.000209
418.442078,1.646987,0.000203
420.035797,1.645343,0.000197
421.629486,1.643751,0.000191
423.223206,1.642209,0.000185
424.816895,1.640713,0.000179
426.410645,1.639263,0.000174
428.004395,1.637854,0.000169
429.598145,1.636485,0.000164
431.191956,1.635155,0.000159
432.785706,1.633861,0.000154
434.379486,1.632601,0.00015
435.973297,1.631375,0.000145
437.567078,1.63018,0.000141
439.16095,1.629016,0.000137
440.75473,1.62788,0.000133
442.348541,1.626773,0.000129
443.942383,1.625692,0.000125
445.536224,1.624636,0.000122
447.130066,1.623605,0.000118
448.723938,1.622598,0.000115
450.317719,1.621614,0.000112
451.91156,1.620651,0.000109
453.505432,1.619709,0.000106
455.099274,1.618788,0.000103
456.693115,1.617887,0.0001
458.286957,1.617004,0.000097
459.880798,1.61614,0.000095
461.474609,1.615293,0.000092
463.068451,1.614464,0.00009
464.662292,1.613651,0.000087
466.256104,1.612854,0.000085
467.849915,1.612072,0.000083
469.443695,1.611306,0.000081
471.037506,1.610554,0.000078
472.631287,1.609817,0.000076
474.225098,1.609093,0.000074
475.818848,1.608382,0.000072
477.412598,1.607684,0.000071
479.006348,1.606999,0.000069
480.600098,1.606326,0.000067
482.193787,1.605665,0.000065
483.787506,1.605016,0.000064
485.381195,1.604378,0.000062
486.974915,1.60375,0.000061
488.568542,1.603133,0.000059
490.162201,1.602527,0.000058
491.755798,1.60193,0.000056
493.349426,1.601344,0.000055
494.943024,1.600767,0.000053
496.53656,1.600199,0.000052
498.130127,1.599641,0.000051
499.723633,1.599091,0.00005
501.317139,1.59855,0.000049
502.910645,1.598017,0.000047
