wl in nm,n Chen 2015, k
300,1.70023,0.01975
301,1.63727,0.0161
302,1.58052,0.01246
303,1.57976,0.00881
304,1.57899,0.00517
305,1.57822,0.00152
306,1.57745,4.31E-04
307,1.57688,4.32E-04
308,1.57635,4.32E-04
309,1.57582,4.33E-04
310,1.57529,4.34E-04
311,1.57476,4.35E-04
312,1.57428,4.36E-04
313,1.57382,4.37E-04
314,1.57336,4.38E-04
315,1.5729,4.39E-04
316,1.57244,4.40E-04
317,1.57197,4.52E-04
318,1.57151,4.69E-04
319,1.57106,4.86E-04
320,1.57063,5.04E-04
321,1.57021,5.21E-04
322,1.56979,5.38E-04
323,1.56936,5.55E-04
324,1.56894,5.72E-04
325,1.56852,5.90E-04
326,1.56809,6.07E-04
327,1.56767,6.24E-04
328,1.56725,6.41E-04
329,1.56683,6.58E-04
330,1.56641,6.75E-04
331,1.56599,6.92E-04
332,1.56557,7.09E-04
333,1.56515,7.26E-04
334,1.56473,7.43E-04
335,1.56431,7.60E-04
336,1.56389,7.77E-04
337,1.56349,7.94E-04
338,1.56313,8.11E-04
339,1.56277,8.27E-04
340,1.56241,8.44E-04
341,1.56204,8.61E-04
342,1.56168,8.78E-04
343,1.56132,8.96E-04
344,1.56096,9.14E-04
345,1.5606,9.33E-04
346,1.56024,9.51E-04
347,1.55986,9.69E-04
348,1.55947,9.88E-04
349,1.55909,0.00101
350,1.55871,0.00102
351,1.55833,0.00104
352,1.55794,0.00106
353,1.55756,0.00108
354,1.55718,0.0011
355,1.5568,0.00112
356,1.55641,0.00113
357,1.55609,0.00115
358,1.5558,0.00116
359,1.55551,0.00118
360,1.55521,0.00119
361,1.55492,0.00121
362,1.55462,0.00122
363,1.55433,0.00124
364,1.55404,0.00125
365,1.55374,0.00127
366,1.55345,0.00128
367,1.55315,0.0013
368,1.55284,0.00131
369,1.55253,0.00133
370,1.55222,0.00135
371,1.55191,0.00136
372,1.5516,0.00138
373,1.55129,0.0014
374,1.55098,0.00141
375,1.55067,0.00143
376,1.55036,0.00145
377,1.55005,0.00147
378,1.54977,0.00148
379,1.54951,0.0015
380,1.54925,0.00152
381,1.549,0.00153
382,1.54874,0.00155
383,1.54848,0.00157
384,1.54822,0.00158
385,1.54796,0.0016
386,1.54771,0.00162
387,1.54745,0.00164
388,1.54717,0.00165
389,1.5469,0.00167
390,1.54662,0.00169
391,1.54635,0.00171
392,1.54607,0.00172
393,1.5458,0.00174
394,1.54552,0.00176
395,1.54525,0.00177
396,1.54497,0.0018
397,1.5447,0.00184
398,1.54443,0.00187
399,1.54415,0.00191
400,1.54388,0.00194
401,1.5436,0.00198
402,1.54333,0.00201
403,1.54309,0.00204
404,1.54285,0.00208
405,1.54262,0.00211
406,1.54239,0.00215
