Opt. Const. of Gen-Osc vs. nm nm,n,k
190,1.60556,0.000109
191,1.604427,0.000115
192,1.603316,0.000121
193,1.602228,0.000127
194,1.601162,0.000133
195,1.600116,0.000137
196,1.599091,0.000142
197,1.598086,0.000146
198,1.5971,0.000149
199,1.596133,0.000152
200,1.595184,0.000154
201,1.594252,0.000156
202,1.593337,0.000157
203,1.592439,0.000158
204,1.591557,0.000158
205,1.590691,0.000158
206,1.58984,0.000157
207,1.589003,0.000156
208,1.588181,0.000155
209,1.587373,0.000153
210,1.586578,0.000152
211,1.585797,0.00015
212,1.585029,0.000148
213,1.584274,0.000146
214,1.58353,0.000145
215,1.582799,0.000143
216,1.58208,0.000142
217,1.581372,0.00014
218,1.580676,0.000139
219,1.579991,0.000138
220,1.579316,0.000138
221,1.578653,0.000137
222,1.577999,0.000137
223,1.577357,0.000138
224,1.576724,0.000138
225,1.576101,0.000139
226,1.575488,0.00014
227,1.574884,0.000142
228,1.57429,0.000144
229,1.573705,0.000146
230,1.57313,0.000148
231,1.572563,0.00015
232,1.572005,0.000153
233,1.571456,0.000156
234,1.570915,0.000159
235,1.570383,0.000162
236,1.569858,0.000165
237,1.569342,0.000168
238,1.568834,0.000171
239,1.568334,0.000174
240,1.567841,0.000177
241,1.567356,0.000179
242,1.566878,0.000182
243,1.566407,0.000184
244,1.565943,0.000185
245,1.565486,0.000186
246,1.565035,0.000187
247,1.564591,0.000188
248,1.564154,0.000188
249,1.563722,0.000187
250,1.563296,0.000186
251,1.562876,0.000184
252,1.562462,0.000182
253,1.562053,0.00018
254,1.56165,0.000177
255,1.561252,0.000174
256,1.560858,0.00017
257,1.56047,0.000166
258,1.560086,0.000162
259,1.559707,0.000158
260,1.559333,0.000153
261,1.558963,0.000148
262,1.558598,0.000143
263,1.558236,0.000138
264,1.557879,0.000133
265,1.557527,0.000128
266,1.557178,0.000123
267,1.556834,0.000118
268,1.556493,0.000113
269,1.556156,0.000109
270,1.555824,0.000104
271,1.555495,0.000099
272,1.55517,0.000095
273,1.554848,0.00009
